brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
2018 Ford EcoSport Titanium + 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹9.98 Lakh
2012 Hyundai i20 Sportz 1.4 CRDI,45K km, · Diesel, · Manual,"Mileage (ARAI)
14.9 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
90 bhp
VIEW ALL SPECIFICATIONS",,₹5.61 Lakh
2015 Hyundai Elite i20 Sportz 1.2,65K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹5.79 Lakh
2017 Skoda Rapid New Ambition Petrol,29K km, · Petrol, · Manual,"Mileage (ARAI)
15 kmpl
Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
103 bhp
Max torque
153 nm
VIEW ALL SPECIFICATIONS",,₹7.26 Lakh
2018 Hyundai Verna 1.6 VTVT SX (O) AT,50K km, · Petrol, · Automatic,"Mileage (ARAI)
17 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
121.3 bhp
VIEW ALL SPECIFICATIONS",,₹10.70 Lakh
2021 Maruti Suzuki S-Presso VXI Plus AT,22K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹5.64 Lakh
2021 Maruti Suzuki S-Presso VXI Plus AT,39K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹5.60 Lakh
2020 Maruti Suzuki S-Presso VXI Plus AT,29K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹5.27 Lakh
2019 Maruti Suzuki XL6 Alpha MT Petrol,21K km, · Petrol, · Manual,"Mileage (ARAI)
19.01 kmpl
Boot space
209 litres
Seating capacity
6 units
Fuel tank capacity
45 litres
Max power
103.2 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",,₹9.76 Lakh
2015 Hyundai Elite i20 Asta 1.2,64K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.41 Lakh
2018 Hyundai Creta 1.6 SX Plus Auto,82K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹12.99 Lakh
2021 Renault Triber RXZ,16K km, · Petrol, · Manual,"Mileage (ARAI)
20 kmpl
Ground clearance
182 mm
Boot space
84 litres
Seating capacity
7 units
Fuel tank capacity
40 litres
Max power
71 bhp
VIEW ALL SPECIFICATIONS",,₹7.64 Lakh
2018 Hyundai Grand i10 Sportz 1.2 CRDi,32K km, · Diesel, · Manual,,"Mileage (ARAI)
24.95 kmpl
Ground clearance
165 mm
Boot space
256 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",₹6.71 Lakh
2017 Ford EcoSport Titanium 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,,"Mileage (ARAI)
16.5 kmpl
Ground clearance
200 mm
Boot space
346 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
110 bhp
VIEW ALL SPECIFICATIONS",₹8.58 Lakh
2014 Chevrolet Beat LS Petrol,45K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
165 mm
Boot space
170 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
79 bhp
VIEW ALL SPECIFICATIONS",₹3.18 Lakh
2019 Honda WR-V i-DTEC VX,84K km, · Diesel, · Manual,,"Mileage (ARAI)
23.7 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
97.89 bhp
VIEW ALL SPECIFICATIONS",₹8.82 Lakh
2017 Maruti Suzuki Baleno Zeta Petrol,51K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.64 Lakh
2016 Maruti Suzuki Alto K10 VXI (O),80K km, · Petrol, · Manual,,"Mileage (ARAI)
24.07 kmpl
Ground clearance
160 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67 bhp
Max torque
90 nm
VIEW ALL SPECIFICATIONS",₹3.07 Lakh
2019 Ford EcoSport Signature Edition Petrol,49K km, · Petrol, · Manual,,"Mileage (ARAI)
18.88 kmpl
Ground clearance
200 mm
Boot space
346 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
110.4 bhp
VIEW ALL SPECIFICATIONS",₹9.49 Lakh
2020 Ford Freestyle Titanium Plus 1.5 TDCI,50K km, · Diesel, · Manual,,"Mileage (ARAI)
23.8 kmpl
Ground clearance
190 mm
Boot space
257 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
1499 cc
VIEW ALL SPECIFICATIONS",₹7.40 Lakh
2020 Kia Seltos GTX DCT,22K km, · Petrol, · Automatic,,"Mileage (ARAI)
16.1 kmpl
Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹16.39 Lakh
2020 Ford Freestyle Titanium 1.2,15K km, · Petrol, · Manual,,"Mileage (ARAI)
18.5 kmpl
Boot space
257 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
94.93 bhp
Max torque
119 nm
VIEW ALL SPECIFICATIONS",₹6.93 Lakh
2022 Tata Tigor Revotron XZ+,3K km, · Petrol, · Manual,"Boot space
419 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1199 cc
VIEW ALL SPECIFICATIONS",,₹7.53 Lakh
2020 Ford EcoSport Titanium + 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹10.01 Lakh
2019 Mahindra XUV500 W5,79K km, · Diesel, · Manual,,"Mileage (ARAI)
15.1 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
152 bhp
Max torque
360 nm
VIEW ALL SPECIFICATIONS",₹9.91 Lakh
2017 Nissan Terrano XV Premium amt diesel,53K km, · Diesel, · Automatic,"Mileage (ARAI)
19.61 kmpl
Ground clearance
205 mm
Boot space
475 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108 bhp
VIEW ALL SPECIFICATIONS",,₹6.99 Lakh
2017 Maruti Suzuki Ertiga VXI CNG,50K km, · Petrol+cng, · Manual,"Mileage (ARAI)
26 kmpl
Ground clearance
185 mm
Boot space
209 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
91.19 bhp
VIEW ALL SPECIFICATIONS",,₹8.51 Lakh
2014 Hyundai i20 Asta 1.4 CRDI,66K km, · Diesel, · Manual,,"Mileage (ARAI)
21.93 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹5.07 Lakh
2017 Maruti Suzuki Dzire VDi AMT,50K km, · Diesel, · Automatic,"Mileage (ARAI)
28.4 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
74 bhp
Max torque
190 nm
VIEW ALL SPECIFICATIONS",,₹6.63 Lakh
2017 Maruti Suzuki Vitara Brezza ZDi,78K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹7.54 Lakh
2017 Honda WR-V VX i-VTEC,47K km, · Petrol, · Manual,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",,₹6.09 Lakh
2015 Skoda Superb Elegance 1.8 TSI AT,58K km, · Petrol, · Automatic,"Mileage (ARAI)
13.1 kmpl
Ground clearance
159 mm
Boot space
565 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
158 bhp
VIEW ALL SPECIFICATIONS",,₹10.12 Lakh
2016 Honda Jazz V,67K km, · Petrol, · Manual,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",,₹4.53 Lakh
2021 Tata Safari XT,25K km, · Diesel, · Manual,"Mileage (ARAI)
16.1 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Max power
168 bhp
Max torque
350 nm
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",,₹16.97 Lakh
2019 Tata Hexa XT 4X4,9K km, · Diesel, · Manual,"Ground clearance
200 mm
Boot space
128 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Displacement
2179 cc
VIEW ALL SPECIFICATIONS",,₹14.12 Lakh
2014 Maruti Suzuki Swift ZXI,31K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.62 Lakh
2021 Maruti Suzuki Ciaz Delta AT Petrol,8K km, · Petrol, · Automatic,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹10.73 Lakh
2015 Volkswagen Vento Comfortline Diesel,80K km, · Diesel, · Manual,,"Mileage (ARAI)
20.5 kmpl
Ground clearance
168 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
103 bhp
VIEW ALL SPECIFICATIONS",₹4.67 Lakh
2021 Tata Harrier XZ Plus Dual Tone,7K km, · Diesel, · Manual,,"Mileage (ARAI)
16.3 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
168 bhp
VIEW ALL SPECIFICATIONS",₹18.30 Lakh
2018 Maruti Suzuki Ciaz Alpha AT Petrol,44K km, · Petrol, · Automatic,,"Mileage (ARAI)
20 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹7.77 Lakh
2019 Honda Jazz VX MT,10K km, · Petrol, · Manual,,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",₹6.79 Lakh
2017 Honda WR-V i-VTEC S,59K km, · Petrol, · Manual,,"Mileage (ARAI)
17.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.7 bhp
VIEW ALL SPECIFICATIONS",₹5.48 Lakh
2022 Tata Tigor Revotron XZ+,3K km, · Petrol, · Manual,"Boot space
419 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1199 cc
VIEW ALL SPECIFICATIONS",,₹7.53 Lakh
2020 Ford EcoSport Titanium + 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹10.01 Lakh
2019 Mahindra XUV500 W5,79K km, · Diesel, · Manual,,"Mileage (ARAI)
15.1 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
152 bhp
Max torque
360 nm
VIEW ALL SPECIFICATIONS",₹9.91 Lakh
2017 Nissan Terrano XV Premium amt diesel,53K km, · Diesel, · Automatic,"Mileage (ARAI)
19.61 kmpl
Ground clearance
205 mm
Boot space
475 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108 bhp
VIEW ALL SPECIFICATIONS",,₹6.99 Lakh
2017 Maruti Suzuki Ertiga VXI CNG,50K km, · Petrol+cng, · Manual,"Mileage (ARAI)
26 kmpl
Ground clearance
185 mm
Boot space
209 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
91.19 bhp
VIEW ALL SPECIFICATIONS",,₹8.51 Lakh
2014 Hyundai i20 Asta 1.4 CRDI,66K km, · Diesel, · Manual,,"Mileage (ARAI)
21.93 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹5.07 Lakh
2017 Maruti Suzuki Dzire VDi AMT,50K km, · Diesel, · Automatic,"Mileage (ARAI)
28.4 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
74 bhp
Max torque
190 nm
VIEW ALL SPECIFICATIONS",,₹6.63 Lakh
2017 Maruti Suzuki Vitara Brezza ZDi,78K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹7.54 Lakh
2017 Honda WR-V VX i-VTEC,47K km, · Petrol, · Manual,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",,₹6.09 Lakh
2015 Skoda Superb Elegance 1.8 TSI AT,58K km, · Petrol, · Automatic,"Mileage (ARAI)
13.1 kmpl
Ground clearance
159 mm
Boot space
565 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
158 bhp
VIEW ALL SPECIFICATIONS",,₹10.12 Lakh
2016 Honda Jazz V,67K km, · Petrol, · Manual,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",,₹4.53 Lakh
2021 Tata Safari XT,25K km, · Diesel, · Manual,"Mileage (ARAI)
16.1 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Max power
168 bhp
Max torque
350 nm
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",,₹16.97 Lakh
2019 Tata Hexa XT 4X4,9K km, · Diesel, · Manual,"Ground clearance
200 mm
Boot space
128 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Displacement
2179 cc
VIEW ALL SPECIFICATIONS",,₹14.12 Lakh
2014 Maruti Suzuki Swift ZXI,31K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.62 Lakh
2021 Maruti Suzuki Ciaz Delta AT Petrol,8K km, · Petrol, · Automatic,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹10.73 Lakh
2015 Volkswagen Vento Comfortline Diesel,80K km, · Diesel, · Manual,,"Mileage (ARAI)
20.5 kmpl
Ground clearance
168 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
103 bhp
VIEW ALL SPECIFICATIONS",₹4.67 Lakh
2021 Tata Harrier XZ Plus Dual Tone,7K km, · Diesel, · Manual,,"Mileage (ARAI)
16.3 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
168 bhp
VIEW ALL SPECIFICATIONS",₹18.30 Lakh
2018 Maruti Suzuki Ciaz Alpha AT Petrol,44K km, · Petrol, · Automatic,,"Mileage (ARAI)
20 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹7.77 Lakh
2019 Honda Jazz VX MT,10K km, · Petrol, · Manual,,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",₹6.79 Lakh
2017 Honda WR-V i-VTEC S,59K km, · Petrol, · Manual,,"Mileage (ARAI)
17.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.7 bhp
VIEW ALL SPECIFICATIONS",₹5.48 Lakh
2018 Mahindra XUV500 W11 AT,29K km, · Diesel, · Automatic,"Mileage (ARAI)
15.1 kmpl
Ground clearance
200 mm
Seating capacity
7 units
Fuel tank capacity
70 litres
Max power
152.87 bhp
Max torque
360 nm
VIEW ALL SPECIFICATIONS",,₹15.13 Lakh
2013 Hyundai i20 Asta 1.4 CRDI,54K km, · Diesel, · Manual,"Mileage (ARAI)
21.93 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",,₹4.32 Lakh
2021 Maruti Suzuki S-Presso VXI Plus AT,7K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹4.99 Lakh
2019 Kia Seltos HTX G,39K km, · Petrol, · Manual,,"Mileage (ARAI)
16.8 kmpl
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
113.4 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹12.62 Lakh
2020 Maruti Suzuki S-Presso VXI Plus AT,7K km, · Petrol, · Automatic,"Mileage (ARAI)
21.7 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹4.85 Lakh
2018 Tata Nexon XZ Plus Dual Tone Roof Diesel,35K km, · Diesel, · Manual,"Mileage (ARAI)
21.5 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
108.5 bhp
VIEW ALL SPECIFICATIONS",,₹8.96 Lakh
2020 MG Motors Gloster Sharp 2.0 Twin Turbo 7 STR 4WD,30K km, · Diesel, · Automatic,"Displacement
1996 cc
VIEW ALL SPECIFICATIONS",,₹34.48 Lakh
2020 Kia Sonet HTX 1.0 iMT,18K km, · Petrol, · Manual,,"Mileage (ARAI)
18.2 kmpl
Ground clearance
205 mm
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",₹10.22 Lakh
2013 Hyundai Verna Fluidic 1.6 CRDi SX,98K km, · Diesel, · Manual,"Mileage (ARAI)
21.9 kmpl
Ground clearance
170 mm
Boot space
465 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹5.26 Lakh
