,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
0,2018 Hyundai Elite i20 Asta 1.2 (O),34K km, · Petrol, · Manual,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.65 Lakh
1,2021 Hyundai Creta SX IVT Petrol,19K km, · Petrol, · Automatic,,"Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",₹15.24 Lakh
2,2019 Hyundai Creta 1.6 SX,51K km, · Diesel, · Manual,"Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
126 bhp
Max torque
260 nm
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹11.88 Lakh
3,2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,44K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.06 Lakh
4,2021 Renault Kwid 1.0 RXL,12K km, · Petrol, · Manual,"Mileage (ARAI)
21.7 kmpl
Ground clearance
184 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",,₹3.75 Lakh
5,2019 Hyundai Elite i20 Asta (O) CVT,17K km, · Petrol, · Automatic,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹7.93 Lakh
6,2016 Maruti Suzuki Baleno Alpha Petrol,56K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.78 Lakh
7,2019 Maruti Suzuki Baleno Alpha Petrol+CNG (Outside Fitted),10K km, · Petrol+cng, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.45 Lakh
8,2020 Maruti Suzuki XL6 Alpha AT Petrol,50K km, · Petrol, · Automatic,"Mileage (ARAI)
17.99 kmpl
Boot space
209 litres
Seating capacity
6 units
Fuel tank capacity
45 litres
Max power
103.2 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",,₹10.98 Lakh
9,2011 Toyota Etios V,50K km, · Petrol, · Manual,"Mileage (ARAI)
17.57 kmpl
Ground clearance
170 mm
Boot space
595 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",,₹2.72 Lakh
10,2012 Toyota Etios Liva G,45K km, · Petrol, · Manual,,"Mileage (ARAI)
17.71 kmpl
Ground clearance
170 mm
Boot space
251 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",₹2.86 Lakh
11,2017 Maruti Suzuki Ciaz ZXI+ AT,96K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.12 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹6.76 Lakh
12,2011 Hyundai i20 Magna 1.2,65K km, · Petrol, · Manual,,"Mileage (ARAI)
12.4 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",₹2.93 Lakh
13,2014 Hyundai Grand i10 Magna 1.2 Kappa VTVT,60K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹3.69 Lakh
14,2013 Hyundai i10 Magna 1.2 Petrol,87K km, · Petrol, · Manual,,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.7 nm
VIEW ALL SPECIFICATIONS",₹2.60 Lakh
15,2019 Ford EcoSport Titanium 1.5L Ti-VCT,39K km, · Petrol, · Manual,"Mileage (ARAI)
15.9 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹7.27 Lakh
16,2020 Hyundai Verna SX Opt Turbo Petrol,7K km, · Petrol, · Automatic,"Mileage (ARAI)
19.2 kmpl
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118 bhp
Max torque
172 nm
VIEW ALL SPECIFICATIONS",,₹13.26 Lakh
17,2020 Kia Sonet GTX Plus 1.0 iMT,18K km, · Petrol, · Manual,"Mileage (ARAI)
18.2 kmpl
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹11.45 Lakh
18,2020 Maruti Suzuki Swift VXI AMT,25K km, · Petrol, · Automatic,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.48 Lakh
19,2014 Maruti Suzuki Ritz LXI,18K km, · Petrol, · Manual,"Mileage (ARAI)
18.5 kmpl
Ground clearance
170 mm
Boot space
236 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
85 bhp
VIEW ALL SPECIFICATIONS",,₹3.41 Lakh
20,2018 Hyundai Elite i20 Asta 1.2 (O),34K km, · Petrol, · Manual,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.65 Lakh
21,2021 Hyundai Creta SX IVT Petrol,19K km, · Petrol, · Automatic,,"Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",₹15.24 Lakh
22,2019 Hyundai Creta 1.6 SX,51K km, · Diesel, · Manual,"Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
126 bhp
Max torque
260 nm
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹11.88 Lakh
23,2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,44K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.06 Lakh
24,2021 Renault Kwid 1.0 RXL,12K km, · Petrol, · Manual,"Mileage (ARAI)
21.7 kmpl
Ground clearance
184 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",,₹3.75 Lakh
25,2019 Hyundai Elite i20 Asta (O) CVT,17K km, · Petrol, · Automatic,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹7.93 Lakh
26,2016 Maruti Suzuki Baleno Alpha Petrol,56K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.78 Lakh
27,2019 Maruti Suzuki Baleno Alpha Petrol+CNG (Outside Fitted),10K km, · Petrol+cng, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.45 Lakh
28,2020 Maruti Suzuki XL6 Alpha AT Petrol,50K km, · Petrol, · Automatic,"Mileage (ARAI)
17.99 kmpl
Boot space
209 litres
Seating capacity
6 units
Fuel tank capacity
45 litres
Max power
103.2 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",,₹10.98 Lakh
29,2011 Toyota Etios V,50K km, · Petrol, · Manual,"Mileage (ARAI)
17.57 kmpl
Ground clearance
170 mm
Boot space
595 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",,₹2.72 Lakh
30,2012 Toyota Etios Liva G,45K km, · Petrol, · Manual,,"Mileage (ARAI)
17.71 kmpl
Ground clearance
170 mm
Boot space
251 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",₹2.86 Lakh
31,2017 Maruti Suzuki Ciaz ZXI+ AT,96K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.12 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹6.76 Lakh
32,2011 Hyundai i20 Magna 1.2,65K km, · Petrol, · Manual,,"Mileage (ARAI)
12.4 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",₹2.93 Lakh
33,2014 Hyundai Grand i10 Magna 1.2 Kappa VTVT,60K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹3.69 Lakh
34,2013 Hyundai i10 Magna 1.2 Petrol,87K km, · Petrol, · Manual,,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.7 nm
VIEW ALL SPECIFICATIONS",₹2.60 Lakh
35,2019 Ford EcoSport Titanium 1.5L Ti-VCT,39K km, · Petrol, · Manual,"Mileage (ARAI)
15.9 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹7.27 Lakh
36,2020 Hyundai Verna SX Opt Turbo Petrol,7K km, · Petrol, · Automatic,"Mileage (ARAI)
19.2 kmpl
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118 bhp
Max torque
172 nm
VIEW ALL SPECIFICATIONS",,₹13.26 Lakh
37,2020 Kia Sonet GTX Plus 1.0 iMT,18K km, · Petrol, · Manual,"Mileage (ARAI)
18.2 kmpl
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹11.45 Lakh
38,2020 Maruti Suzuki Swift VXI AMT,25K km, · Petrol, · Automatic,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.48 Lakh
39,2014 Maruti Suzuki Ritz LXI,18K km, · Petrol, · Manual,"Mileage (ARAI)
18.5 kmpl
Ground clearance
170 mm
Boot space
236 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
85 bhp
VIEW ALL SPECIFICATIONS",,₹3.41 Lakh
40,2017 Maruti Suzuki Swift LXI (O),46K km, · Petrol, · Manual,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹4.34 Lakh
41,2019 Maruti Suzuki Swift ZXI Plus AMT,63K km, · Petrol, · Automatic,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹6.72 Lakh
42,2016 Maruti Suzuki Ciaz ZXI+ AT,98K km, · Petrol, · Automatic,"Mileage (ARAI)
19.12 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",,₹6.18 Lakh
43,2018 Maruti Suzuki Dzire ZXI AMT CNG (outside fitted),41K km, · Petrol+cng, · Automatic,"Displacement
1197 cc
VIEW ALL SPECIFICATIONS",,₹6.99 Lakh
44,2021 Skoda Kushaq Ambition 1.0L TSI MT,26K km, · Petrol, · Manual,,"Mileage (ARAI)
19.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹11.97 Lakh
45,2020 Mahindra XUV 300 W8 Petrol,11K km, · Petrol, · Manual,"Mileage (ARAI)
17.01 kmpl
Ground clearance
180 mm
Boot space
259 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
108.6 bhp
VIEW ALL SPECIFICATIONS",,₹9.70 Lakh
46,2017 Ford EcoSport Titanium+ 1.0L EcoBoost,59K km, · Petrol, · Manual,"Mileage (ARAI)
18.9 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
124 bhp
VIEW ALL SPECIFICATIONS",,₹6.95 Lakh
47,2019 Maruti Suzuki Baleno Zeta AT Petrol+cng(Outside fitted),47K km, · Petrol+cng, · Automatic,"Mileage (ARAI)
19.56 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.79 Lakh
48,2016 Maruti Suzuki Vitara Brezza ZDI PLUS Dual Tone,80K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",₹5.90 Lakh
49,2017 Volkswagen Polo Comfortline 1.2L CNG (Outside Fitted),39K km, · Petrol+cng, · Manual,"Mileage (ARAI)
16.2 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.64 Lakh
50,2014 Maruti Suzuki Ciaz ZXI,40K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹5.40 Lakh
51,2013 Honda City V (AVN),74K km, · Petrol, · Manual,,"Mileage (ARAI)
16.8 kmpl
Ground clearance
165 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
116.3 bhp
VIEW ALL SPECIFICATIONS",₹4.98 Lakh
52,2015 Honda Brio VX MT,56K km, · Petrol, · Manual,,"Mileage (ARAI)
19.4 kmpl
Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.8 bhp
VIEW ALL SPECIFICATIONS",₹4.03 Lakh
53,2017 Mahindra KUV100 K4 D 6 STR,24K km, · Diesel, · Manual,"Mileage (ARAI)
25.32 kmpl
Ground clearance
170 mm
Boot space
243 litres
Seating capacity
6 units
Fuel tank capacity
35 litres
Max power
77 bhp
VIEW ALL SPECIFICATIONS",,₹3.92 Lakh
54,2011 Hyundai i10 Era Petrol,33K km, · Petrol, · Manual,"Mileage (ARAI)
19.81 kmpl
Ground clearance
165 mm
Boot space
225 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68.05 bhp
VIEW ALL SPECIFICATIONS",,₹2.42 Lakh
55,2011 Hyundai i10 Era Petrol,90K km, · Petrol, · Manual,,"Mileage (ARAI)
19.81 kmpl
Ground clearance
165 mm
Boot space
225 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68.05 bhp
VIEW ALL SPECIFICATIONS",₹2.18 Lakh
56,2014 Maruti Suzuki Swift VXI,77K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
232 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
VIEW ALL SPECIFICATIONS",₹3.81 Lakh
57,2019 Maruti Suzuki Baleno Sigma Petrol,17K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.66 Lakh
58,2015 Renault Duster RxL Petrol,39K km, · Petrol, · Manual,"Mileage (ARAI)
13.06 kmpl
Ground clearance
205 mm
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
102.53 bhp
Max torque
148 nm
VIEW ALL SPECIFICATIONS",,₹5.52 Lakh
59,2019 Renault Triber RXT,48K km, · Petrol, · Manual,,"Mileage (ARAI)
20 kmpl
Ground clearance
182 mm
Boot space
84 litres
Seating capacity
7 units
Fuel tank capacity
40 litres
Max power
71 bhp
VIEW ALL SPECIFICATIONS",₹5.54 Lakh
60,2018 Hyundai Elite i20 Asta 1.2 (O),34K km, · Petrol, · Manual,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.65 Lakh
61,2021 Hyundai Creta SX IVT Petrol,19K km, · Petrol, · Automatic,,"Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",₹15.24 Lakh
62,2019 Hyundai Creta 1.6 SX,51K km, · Diesel, · Manual,"Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
126 bhp
Max torque
260 nm
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹11.88 Lakh
63,2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,44K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.06 Lakh
64,2021 Renault Kwid 1.0 RXL,12K km, · Petrol, · Manual,"Mileage (ARAI)
21.7 kmpl
Ground clearance
184 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",,₹3.75 Lakh
65,2019 Hyundai Elite i20 Asta (O) CVT,17K km, · Petrol, · Automatic,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹7.93 Lakh
66,2016 Maruti Suzuki Baleno Alpha Petrol,56K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.78 Lakh
67,2019 Maruti Suzuki Baleno Alpha Petrol+CNG (Outside Fitted),10K km, · Petrol+cng, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.45 Lakh
68,2020 Maruti Suzuki XL6 Alpha AT Petrol,50K km, · Petrol, · Automatic,"Mileage (ARAI)
17.99 kmpl
Boot space
209 litres
Seating capacity
6 units
Fuel tank capacity
45 litres
Max power
103.2 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",,₹10.98 Lakh
69,2011 Toyota Etios V,50K km, · Petrol, · Manual,"Mileage (ARAI)
17.57 kmpl
Ground clearance
170 mm
Boot space
595 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",,₹2.72 Lakh
70,2012 Toyota Etios Liva G,45K km, · Petrol, · Manual,,"Mileage (ARAI)
17.71 kmpl
Ground clearance
170 mm
Boot space
251 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",₹2.86 Lakh
71,2017 Maruti Suzuki Ciaz ZXI+ AT,96K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.12 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹6.76 Lakh
72,2011 Hyundai i20 Magna 1.2,65K km, · Petrol, · Manual,,"Mileage (ARAI)
12.4 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",₹2.93 Lakh
73,2014 Hyundai Grand i10 Magna 1.2 Kappa VTVT,60K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹3.69 Lakh
74,2013 Hyundai i10 Magna 1.2 Petrol,87K km, · Petrol, · Manual,,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.7 nm
VIEW ALL SPECIFICATIONS",₹2.60 Lakh
75,2019 Ford EcoSport Titanium 1.5L Ti-VCT,39K km, · Petrol, · Manual,"Mileage (ARAI)
15.9 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹7.27 Lakh
76,2020 Hyundai Verna SX Opt Turbo Petrol,7K km, · Petrol, · Automatic,"Mileage (ARAI)
19.2 kmpl
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118 bhp
Max torque
172 nm
VIEW ALL SPECIFICATIONS",,₹13.26 Lakh
77,2020 Kia Sonet GTX Plus 1.0 iMT,18K km, · Petrol, · Manual,"Mileage (ARAI)
18.2 kmpl
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
998 cc
VIEW ALL SPECIFICATIONS",,₹11.45 Lakh
78,2020 Maruti Suzuki Swift VXI AMT,25K km, · Petrol, · Automatic,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.48 Lakh
79,2014 Maruti Suzuki Ritz LXI,18K km, · Petrol, · Manual,"Mileage (ARAI)
18.5 kmpl
Ground clearance
170 mm
Boot space
236 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
85 bhp
VIEW ALL SPECIFICATIONS",,₹3.41 Lakh
80,2017 Maruti Suzuki Swift LXI (O),46K km, · Petrol, · Manual,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹4.34 Lakh
81,2019 Maruti Suzuki Swift ZXI Plus AMT,63K km, · Petrol, · Automatic,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹6.72 Lakh
82,2016 Maruti Suzuki Ciaz ZXI+ AT,98K km, · Petrol, · Automatic,"Mileage (ARAI)
19.12 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",,₹6.18 Lakh
83,2018 Maruti Suzuki Dzire ZXI AMT CNG (outside fitted),41K km, · Petrol+cng, · Automatic,"Displacement
1197 cc
VIEW ALL SPECIFICATIONS",,₹6.99 Lakh
84,2021 Skoda Kushaq Ambition 1.0L TSI MT,26K km, · Petrol, · Manual,,"Mileage (ARAI)
19.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹11.97 Lakh
85,2020 Mahindra XUV 300 W8 Petrol,11K km, · Petrol, · Manual,"Mileage (ARAI)
17.01 kmpl
Ground clearance
180 mm
Boot space
259 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
108.6 bhp
VIEW ALL SPECIFICATIONS",,₹9.70 Lakh
86,2017 Ford EcoSport Titanium+ 1.0L EcoBoost,59K km, · Petrol, · Manual,"Mileage (ARAI)
18.9 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
124 bhp
VIEW ALL SPECIFICATIONS",,₹6.95 Lakh
87,2019 Maruti Suzuki Baleno Zeta AT Petrol+cng(Outside fitted),47K km, · Petrol+cng, · Automatic,"Mileage (ARAI)
19.56 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.79 Lakh
88,2016 Maruti Suzuki Vitara Brezza ZDI PLUS Dual Tone,80K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",₹5.90 Lakh
89,2017 Volkswagen Polo Comfortline 1.2L CNG (Outside Fitted),39K km, · Petrol+cng, · Manual,"Mileage (ARAI)
16.2 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.64 Lakh
90,2014 Maruti Suzuki Ciaz ZXI,40K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹5.40 Lakh
91,2013 Honda City V (AVN),74K km, · Petrol, · Manual,,"Mileage (ARAI)
16.8 kmpl
Ground clearance
165 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
116.3 bhp
VIEW ALL SPECIFICATIONS",₹4.98 Lakh
92,2015 Honda Brio VX MT,56K km, · Petrol, · Manual,,"Mileage (ARAI)
19.4 kmpl
Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.8 bhp
VIEW ALL SPECIFICATIONS",₹4.03 Lakh
